name,symbol
TOTALENERGIES,TTE.PA
LVMH,MC.PA
TELEPERFORMANCE,TEP.PA
AIRBUS,AIR.PA
SANOFI,SAN.PA
SCHNEIDER ELECTRIC,SU.PA
BNP PARIBAS ACT.A,BNP.PA
L'OREAL,OR.PA
PERNOD RICARD,RI.PA
ARCELORMITTAL SA,MT.AS
VINCI,DG.PA
SAFRAN,SAF.PA
AIR LIQUIDE,AI.PA
KERING,KER.PA
AXA,CS.PA
STMICROELECTRONICS,STM.PA
HERMES INTL,RMS.PA
CAPGEMINI,CAP.PA
VEOLIA ENVIRON.,VIE.PA
CREDIT AGRICOLE,ACA.PA
ESSILORLUXOTTICA,EL.PA
ENGIE,ENGI.PA
ORANGE,ORA.PA
SOCIETE GENERALE,GLE.PA
DANONE,BN.PA
ALSTOM,ALO.PA
PUBLICIS GROUPE SA,PUB.PA
SAINT GOBAIN,SGO.PA
RENAULT,RNO.PA
STELLANTIS NV,STLA.PA
THALES,HO.PA
MICHELIN,ML.PA
DASSAULT SYSTEMES,DSY.PA
LEGRAND,LR.PA
CARREFOUR,CA.PA
BOUYGUES,EN.PA
WORLDLINE,WLN.PA
SODEXO,SW.PA
UNIBAIL-RODAMCO-WE,URW.AS
EUROFINS SCIENT.,ERF.PA
FAURECIA,EO.PA
EDENRED,EDEN.PA
ARKEMA,AKE.PA
BUREAU VERITAS,BVI.PA
ORPEA,ORP.PA
SOLVAY,SOLB.BR
ACCOR,AC.PA
ATOS,ATO.PA
REXEL,RXL.PA
VALEO,FR.PA
REMY COINTREAU,RCO.PA
VIVENDI SE,VIV.PA
SARTORIUS STED BIO,DIM.PA
EDF,EDF.PA
KLEPIERRE,LI.PA
BIOMERIEUX,BIM.PA
EIFFAGE,FGR.PA
GECINA,GFC.PA
SOITEC,SOI.PA
SCOR SE,SCR.PA
VALLOUREC,VK.PA
AIR FRANCE -KLM,AF.PA
TECHNIP ENERGIES,TE.PA
UBISOFT ENTERTAIN,UBI.PA
GTT,GTT.PA
ERAMET,ERA.PA
EUTELSAT COMMUNIC.,ETL.PA
ADP,ADP.PA
GETLINK SE,GET.PA
AMUNDI,AMUN.PA
NEXANS,NEX.PA
EURONEXT,ENX.PA
COVIVIO,COV.PA
CGG,CGG.PA
SPIE,SPIE.PA
SES,SESG.PA
DASSAULT AVIATION,AM.PA
IPSEN,IPN.PA
FDJ,FDJ.PA
WENDEL,MF.PA
SOPRA STERIA GROUP,SOP.PA
RUBIS,RUI.PA
APERAM,APAM.AS
S.E.B.,SK.PA
EURAZEO,RF.PA
BIC,BB.PA
NEOEN,NEOEN.PA
BOLLORE,BOL.PA
EUROAPI,EAPI.PA
ALTEN,ATE.PA
KORIAN,KORI.PA
CASINO GUICHARD,CO.PA
MERCIALYS,MERY.PA
ELIOR GROUP,ELIOR.PA
VERALLIA,VRLA.PA
ICADE,ICAD.PA
IPSOS,IPS.PA
ELIS,ELIS.PA
TRIGANO,TRI.PA
JCDECAUX,DEC.PA
DERICHEBOURG,DBG.PA
IMERYS,NK.PA
VALNEVA,VLA.PA
COFACE,COFA.PA
NEXITY,NXI.PA
SOLUTIONS 30 SE,S30.PA
METROPOLE TV,MMT.PA
ALD,ALD.PA
INTERPARFUMS,ITP.PA
TF1,TFI.PA
MCPHY ENERGY,MCPHY.PA
FNAC DARTY,FNAC.PA
PLASTIC OMNIUM,POM.PA
OVH,OVH.PA
VIRBAC,VIRP.PA
ANTIN INFRA PARTN,ANTIN.PA
QUADIENT,QDT.PA
CARMILA,CARM.PA
ALTAREA,ALTA.PA