name,symbol
Lyxor EURO STOXX 50 (DR) UCITS ETF - Dist,MSE.PA
Lyxor CAC 40 (DR) UCITS ETF - Dist,CAC.PA
Lyxor CAC 40 (DR) UCITS ETF - Acc,CACC.PA
Lyxor DAX (DR) UCITS ETF - Acc,LYXDAX.PA
Lyxor IBEX 35 (DR) UCITS ETF - Dist,LYXIB.PA
Lyxor STOXX Europe 600 Banks UCITS ETF - Acc,BNK.PA
Lyxor STOXX Europe 600 Oil & Gas UCITS ETF - Acc,OIL.PA
Lyxor EURO STOXX Banks (DR) UCITS ETF - Acc,BNKE.PA
Lyxor FTSE MIB UCITS ETF - Dist,ETFMIB.PA
Lyxor Core EURO STOXX 300 (DR) - UCITS ETF Acc,MFED.PA
Lyxor Core EURO STOXX 300 (DR) - UCITS ETF Dist,MFDD.PA
Lyxor Core MSCI EMU (DR) UCITS ETF - Dist,MFE.PA
Lyxor STOXX Europe 600 Healthcare UCITS ETF - Acc,HLT.PA
Lyxor CAC 40 Daily (-2x) Inverse UCITS ETF - Acc,BX4.PA
Lyxor MSCI EMU Small Cap (DR) UCITS ETF - Dist,MMS.PA
Lyxor STOXX Europe 600 Basic Resources UCITS ETF - Acc,BRE.PA
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Acc,FOO.PA
Lyxor Core EURO STOXX 50 (DR) - UCITS ETF Acc,MSED.PA
Lyxor MSCI Greece UCITS ETF - Dist,GRE.PA
Lyxor Daily LevDAX UCITS ETF - Acc,LVD.PA
Lyxor FTSE USA Minimum Variance UCITS ETF - Acc,MVAU.PA
Lyxor STOXX Europe Select Dividend 30 UCITS ETF - Dist,SEL.PA
Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF - Acc,LVC.PA
Lyxor MSCI EMU Value (DR) UCITS ETF - Dist,VAL.PA
Lyxor CAC 40 Daily (-1x) Inverse UCITS ETF - Acc,SHC.PA
Lyxor STOXX Europe 600 Insurance UCITS ETF - Acc,INS.PA
Lyxor EURO STOXX 50 Daily (2x) Leveraged UCITS ETF - Acc,LVE.PA
Lyxor Nasdaq-100 Daily (2x) Leveraged UCITS ETF - Acc,LQQ.PA
Lyxor STOXX Europe 600 Telecommunications UCITS ETF - Acc,TEL.PA
Lyxor STOXX Europe 600 Technology UCITS ETF - Acc,TNO.PA
Lyxor FTSE EMU Minimum Variance UCITS ETF - Acc,MVMU.PA
Lyxor J.P. Morgan Multi-Factor Europe Index UCITS ETF - Acc,LYX5.PA
Lyxor PEA Dow Jones Industrial Average UCITS ETF - Capi.,PDJE.PA
Lyxor MSCI EMU Growth (DR) UCITS ETF - Dist,GWT.PA
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Acc,IND.PA
Lyxor STOXX Europe 600 Utilities UCITS ETF - Acc,UTI.PA
Lyxor PEA NASDAQ-100 UCITS ETF - Capi.,PUST.PA
Lyxor S&P 500 Daily (-2x) Inverse UCITS ETF - Acc,DSP5.PA
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Acc,AUT.PA
Lyxor PEA Russie (MSCI Russia IMI Select GDR) UCITS ETF - Capi.,PRUS.PA
Lyxor PEA Emergents (MSCI Emerging Markets) UCITS ETF - Capi.,PLEM.PA
Lyxor CAC MID 60 (DR) UCITS ETF - Dist,CACM.PA
Lyxor PEA S&P 500 UCITS ETF - Capi.,PSP5.PA
Lyxor PEA S&P 500 UCITS ETF - Couverte en EUR - Capi.,PSPH.PA
Lyxor PEA Monde (MSCI World) UCITS ETF - Capi.,EWLD.PA
Lyxor STOXX Europe 600 Personal & Household Goods UCITS ETF - Acc,PHG.PA
Lyxor STOXX Europe 600 Financial Services UCITS ETF - Acc,FIN.PA
Lyxor PEA Afrique du Sud (MSCI South Africa) UCITS ETF - Capi.,PAFS.PA
Lyxor STOXX Europe 600 Construction & Materials UCITS ETF - Acc,CST.PA
Lyxor STOXX Europe 600 Chemicals UCITS ETF - Acc,CHM.PA
Lyxor PEA Chine (HSCEI) UCITS ETF - Capi.,PASI.PA
Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF - Acc,TRV.PA
Lyxor STOXX Europe 600 Retail UCITS ETF - Acc,RTA.PA
Lyxor PEA Inde (MSCI India) UCITS ETF - Capi.,PINR.PA
Lyxor PEA PME (DR) UCITS ETF - Dist,PEAP.PA
Lyxor PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF - Capi.,PAEJ.PA
Lyxor PEA Japon (TOPIX) UCITS ETF - Capi.,PJPN.PA
Lyxor PEA Japon (TOPIX) UCITS ETF - Couverte en EUR - Capi.,PJPH.PA
Lyxor PEA Amerique (MSCI USA) UCITS ETF - Capi.,PUSA.PA
Lyxor MSCI EMU ESG Trend Leaders (DR) UCITS ETF - Acc,EESG.PA
Lyxor PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF - Capi.,PMEH.PA
Lyxor PEA Eau (World Water) UCITS ETF - Capi.,AWAT.PA
Lyxor STOXX Europe 600 Media UCITS ETF - Acc,MDA.PA
Lyxor PEA Brésil (MSCI Brazil) UCITS ETF - Capi.,PRIO.PA
Lyxor PEA Turquie (MSCI Turkey) UCITS ETF - Capi.,ETUR.PA
Lyxor PEA Nouvelles Energies (New Energy) UCITS ETF - Capi.,PNRJ.PA
Lyxor PEA Corée (MSCI Korea) UCITS ETF - Capi.,PKRW.PA
Lyxor PEA Hong Kong (HSI) UCITS ETF - Capi.,PHSI.PA
Lyxor PEA Europe de l'Est (MSCI Eastern Europe ex Russia) UCITS ETF - Capi.,PCEC.PA
Lyxor PEA Amerique Latine (MSCI EM Latin America) UCITS ETF - Capi.,LTMP.PA
Lyxor PEA MSCI Europe UCITS ETF - Acc,PMEU.PA